/home/seth/dev/cytools_project/venv/lib/python3.13/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  B-01: SCAN χ=-6 POLYTOPES FOR h⁰ ≥ 3 LINE BUNDLES
  Method: Verified Koszul + lattice-point counting
========================================================================


────────────────────────────────────────────────────────────
  h11=13, h21=16  —  3 polytopes
  poly  33: n_toric=23, h11_eff=16, 1202 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  34: n_toric=21, h11_eff=16, 1166 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  35: n_toric=23, h11_eff=16,  784 χ=3 bundles, max h⁰=1
  poly  36: n_toric=21, h11_eff=15, 2426 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  37: n_toric=19, h11_eff=13, 1948 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  38: n_toric=20, h11_eff=14, 1476 χ=3 bundles, max h⁰=11 ★★★ HIT ★★★ [NF]
  poly  39: n_toric=21, h11_eff=16,  696 χ=3 bundles, max h⁰=1
  poly  40: n_toric=18, h11_eff=13, 1380 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  41: n_toric=21, h11_eff=16,  824 χ=3 bundles, max h⁰=1
  poly  42: n_toric=21, h11_eff=16, 1212 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  43: n_toric=17, h11_eff=12, 1646 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  44: n_toric=20, h11_eff=14, 2152 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  45: n_toric=21, h11_eff=16, 1160 χ=3 bundles, max h⁰=1
  poly  46: n_toric=21, h11_eff=16,  928 χ=3 bundles, max h⁰=1
  poly  47: n_toric=21, h11_eff=16, 1288 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  48: n_toric=21, h11_eff=16,  990 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  49: n_toric=21, h11_eff=16,  964 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  50: n_toric=17, h11_eff=12, 1236 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  51: n_toric=17, h11_eff=12, 1408 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  52: n_toric=17, h11_eff=12, 1300 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  53: n_toric=20, h11_eff=14, 1886 χ=3 bundles, max h⁰=12 ★★★ HIT ★★★ [NF]
  poly  54: n_toric=21, h11_eff=16, 1328 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  55: n_toric=18, h11_eff=12,  940 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  56: n_toric=21, h11_eff=16, 1268 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  57: n_toric=21, h11_eff=16, 1430 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  58: n_toric=21, h11_eff=16, 1110 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  59: n_toric=17, h11_eff=12,  812 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  60: n_toric=21, h11_eff=16, 1544 χ=3 bundles, max h⁰=1
  poly  61: n_toric=19, h11_eff=14, 2008 χ=3 bundles, max h⁰=1 [NF]
  poly  62: n_toric=19, h11_eff=14, 2106 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  63: n_toric=18, h11_eff=13, 1406 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly  64: n_toric=21, h11_eff=16, 1240 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  65: n_toric=21, h11_eff=16, 1048 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  66: n_toric=21, h11_eff=16, 1422 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  67: n_toric=23, h11_eff=16,  872 χ=3 bundles, max h⁰=1
  poly  68: n_toric=21, h11_eff=16, 1078 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  69: n_toric=20, h11_eff=15, 2178 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  70: n_toric=21, h11_eff=16, 1114 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  71: n_toric=21, h11_eff=16, 1120 χ=3 bundles, max h⁰=1
  poly  72: n_toric=22, h11_eff=16, 1072 χ=3 bundles, max h⁰=1
  poly  73: n_toric=17, h11_eff=12, 1584 χ=3 bundles, max h⁰=12 ★★★ HIT ★★★ [NF]
  poly  74: n_toric=19, h11_eff=14, 1940 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  75: n_toric=22, h11_eff=16, 1702 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  76: n_toric=19, h11_eff=14, 1956 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★ [NF]
  poly  77: n_toric=21, h11_eff=16, 1300 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly  78: n_toric=19, h11_eff=14, 1934 χ=3 bundles, max h⁰=1 [NF]
  poly  79: n_toric=19, h11_eff=14, 1864 χ=3 bundles, max h⁰=1 [NF]
  poly  80: n_toric=21, h11_eff=16, 1174 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  81: n_toric=23, h11_eff=16, 1402 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  82: n_toric=18, h11_eff=13, 1362 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  83: n_toric=21, h11_eff=16, 1362 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly  84: n_toric=18, h11_eff=13, 1636 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  85: n_toric=23, h11_eff=16, 1150 χ=3 bundles, max h⁰=1
  poly  86: n_toric=19, h11_eff=14, 1880 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  87: n_toric=21, h11_eff=16, 1164 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  88: n_toric=20, h11_eff=14, 1500 χ=3 bundles, max h⁰=18 ★★★ HIT ★★★ [NF]
  poly  89: n_toric=23, h11_eff=16, 1194 χ=3 bundles, max h⁰=1
  poly  90: n_toric=21, h11_eff=16, 1326 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  91: n_toric=20, h11_eff=14, 1834 χ=3 bundles, max h⁰=11 ★★★ HIT ★★★ [NF]
  poly  92: n_toric=21, h11_eff=16, 1252 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  93: n_toric=20, h11_eff=14, 1792 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly  94: n_toric=20, h11_eff=14, 1866 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  95: n_toric=22, h11_eff=16, 1484 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  96: n_toric=19, h11_eff=14, 2162 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  97: n_toric=21, h11_eff=16, 1644 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  98: n_toric=21, h11_eff=16, 1464 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  99: n_toric=20, h11_eff=15, 2324 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]

────────────────────────────────────────────────────────────
  h11=17, h21=20  —  100 polytopes
────────────────────────────────────────────────────────────
  poly   0: n_toric=14, h11_eff= 9,  198 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   1: n_toric=24, h11_eff=17, 1656 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   2: n_toric=22, h11_eff=17,  626 χ=3 bundles, max h⁰=1
