/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [23700/100000] 2586s, 9.2 poly/s, ETA 8325s, 10906 pass / 12794 skip
  [23800/100000] 2598s, 9.2 poly/s, ETA 8319s, 10933 pass / 12867 skip
  [23900/100000] 2609s, 9.2 poly/s, ETA 8309s, 10965 pass / 12935 skip
  [24000/100000] 2619s, 9.2 poly/s, ETA 8293s, 11003 pass / 12997 skip
  [24100/100000] 2629s, 9.2 poly/s, ETA 8280s, 11045 pass / 13055 skip
  [24200/100000] 2640s, 9.2 poly/s, ETA 8269s, 11072 pass / 13128 skip
  [24300/100000] 2651s, 9.2 poly/s, ETA 8259s, 11109 pass / 13191 skip
  [24400/100000] 2660s, 9.2 poly/s, ETA 8243s, 11152 pass / 13248 skip
  [24500/100000] 2671s, 9.2 poly/s, ETA 8232s, 11189 pass / 13311 skip
  [24600/100000] 2681s, 9.2 poly/s, ETA 8216s, 11220 pass / 13380 skip
  [24700/100000] 2691s, 9.2 poly/s, ETA 8205s, 11256 pass / 13444 skip
  [24800/100000] 2702s, 9.2 poly/s, ETA 8194s, 11296 pass / 13504 skip
  [24900/100000] 2715s, 9.2 poly/s, ETA 8189s, 11320 pass / 13580 skip
  [25000/100000] 2725s, 9.2 poly/s, ETA 8175s, 11353 pass / 13647 skip
  [25100/100000] 2736s, 9.2 poly/s, ETA 8166s, 11379 pass / 13721 skip
  [25200/100000] 2747s, 9.2 poly/s, ETA 8153s, 11410 pass / 13790 skip
  [25300/100000] 2757s, 9.2 poly/s, ETA 8139s, 11438 pass / 13862 skip
  [25400/100000] 2769s, 9.2 poly/s, ETA 8131s, 11468 pass / 13932 skip
  [25500/100000] 2778s, 9.2 poly/s, ETA 8115s, 11497 pass / 14003 skip
  [25600/100000] 2790s, 9.2 poly/s, ETA 8107s, 11522 pass / 14078 skip
  [25700/100000] 2799s, 9.2 poly/s, ETA 8093s, 11547 pass / 14153 skip
