
────────────────────────────────────────────────────────────
  h11=15, h21=18  —  553 polytopes (fetched in 1.8s)
────────────────────────────────────────────────────────────
  poly  224: n_toric=19, h11_eff=14,  1502 χ=3 bundles, max h⁰=1 [NF]
  poly  225: n_toric=19, h11_eff=14,  2592 χ=3 bundles, max h⁰=1 [NF]
  poly  226: n_toric=20, h11_eff=15,  2060 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  227: n_toric=19, h11_eff=14,  2148 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly  228: n_toric=20, h11_eff=15,  2258 χ=3 bundles, max h⁰=1
  poly  229: n_toric=20, h11_eff=15,  3722 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  230: n_toric=21, h11_eff=15,  2786 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★
  poly  231: n_toric=20, h11_eff=15,  2272 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  232: n_toric=19, h11_eff=14,  1798 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  233: n_toric=20, h11_eff=15,  2406 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  234: n_toric=20, h11_eff=15,  2748 χ=3 bundles, max h⁰=1
  poly  235: n_toric=20, h11_eff=15,  2866 χ=3 bundles, max h⁰=1
  poly  236: n_toric=19, h11_eff=14,  1994 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  237: n_toric=19, h11_eff=14,  1584 χ=3 bundles, max h⁰=1 [NF]
  poly  238: n_toric=20, h11_eff=15,  2316 χ=3 bundles, max h⁰=1
  poly  239: n_toric=19, h11_eff=14,  1670 χ=3 bundles, max h⁰=1 [NF]
  poly  240: n_toric=20, h11_eff=15,  2056 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  241: n_toric=20, h11_eff=15,  2154 χ=3 bundles, max h⁰=1
  poly  242: n_toric=19, h11_eff=14,  1762 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  243: n_toric=20, h11_eff=15,  2050 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  244: n_toric=20, h11_eff=15,  2500 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  245: n_toric=20, h11_eff=15,  2542 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  246: n_toric=20, h11_eff=15,  2830 χ=3 bundles, max h⁰=1
  poly  247: n_toric=20, h11_eff=15,  2410 χ=3 bundles, max h⁰=1
  poly  248: n_toric=21, h11_eff=15,  2248 χ=3 bundles, max h⁰=16 ★★★ HIT ★★★
  poly  249: n_toric=20, h11_eff=15,  2026 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  250: n_toric=20, h11_eff=15,  2896 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  251: n_toric=21, h11_eff=15,  2752 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
