
────────────────────────────────────────────────────────────
  h11=16, h21=19  —  5180 polytopes (fetched in 13.3s)
────────────────────────────────────────────────────────────
  poly  203: n_toric=19, h11_eff=14,  2508 χ=3 bundles, max h⁰=19 ★★★ HIT ★★★ [NF]
  poly  204: n_toric=19, h11_eff=14,  2498 χ=3 bundles, max h⁰=15 ★★★ HIT ★★★ [NF]
  poly  205: n_toric=21, h11_eff=16,  1368 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  206: n_toric=18, h11_eff=13,  1378 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly  207: n_toric=20, h11_eff=15,  2512 χ=3 bundles, max h⁰=1 [NF]
  poly  208: n_toric=19, h11_eff=14,  2362 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly  209: n_toric=21, h11_eff=15,  1934 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  210: n_toric=20, h11_eff=15,  3096 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  211: n_toric=22, h11_eff=16,  1140 χ=3 bundles, max h⁰=1
  poly  212: n_toric=20, h11_eff=15,  2214 χ=3 bundles, max h⁰=14 ★★★ HIT ★★★ [NF]
  poly  213: n_toric=21, h11_eff=16,  1216 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  214: n_toric=20, h11_eff=15,  2258 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  215: n_toric=18, h11_eff=13,  1786 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  216: n_toric=20, h11_eff=15,  2762 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  217: n_toric=18, h11_eff=13,  1230 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  218: n_toric=20, h11_eff=14,  1538 χ=3 bundles, max h⁰=1 [NF]
  poly  219: n_toric=21, h11_eff=16,  1466 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  220: n_toric=21, h11_eff=16,  1272 χ=3 bundles, max h⁰=1
  poly  221: n_toric=21, h11_eff=16,  1258 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  222: n_toric=17, h11_eff=12,  1102 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  223: n_toric=22, h11_eff=16,  1206 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  224: n_toric=20, h11_eff=15,  1928 χ=3 bundles, max h⁰=1 [NF]
  poly  225: n_toric=20, h11_eff=15,  2476 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly  226: n_toric=21, h11_eff=15,  2162 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  227: n_toric=21, h11_eff=16,  1002 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  228: n_toric=22, h11_eff=16,  1272 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  229: n_toric=20, h11_eff=15,  2470 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  230: n_toric=21, h11_eff=16,  1362 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  231: n_toric=19, h11_eff=14,  1938 χ=3 bundles, max h⁰=19 ★★★ HIT ★★★ [NF]
  poly  232: n_toric=19, h11_eff=14,  2140 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  233: n_toric=21, h11_eff=16,  1158 χ=3 bundles, max h⁰=1
  poly  234: n_toric=21, h11_eff=16,  1284 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  235: n_toric=21, h11_eff=16,   910 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  236: n_toric=20, h11_eff=15,  2520 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  237: n_toric=21, h11_eff=15,  2036 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  238: n_toric=22, h11_eff=16,  1130 χ=3 bundles, max h⁰=1
  poly  239: n_toric=19, h11_eff=14,  2210 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  240: n_toric=21, h11_eff=16,  1092 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  241: n_toric=21, h11_eff=16,   896 χ=3 bundles, max h⁰=1
  poly  242: n_toric=20, h11_eff=15,  2482 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  243: n_toric=20, h11_eff=15,  2068 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  244: n_toric=19, h11_eff=14,  2174 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  245: n_toric=22, h11_eff=16,  1120 χ=3 bundles, max h⁰=1
  poly  246: n_toric=17, h11_eff=12,  1436 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  247: n_toric=20, h11_eff=15,  3606 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  248: n_toric=19, h11_eff=14,  2702 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  249: n_toric=20, h11_eff=14,  1952 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
